OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-3732,2022-029AQ,2026-06-28T13:59:39.024384,15.08828900,.00012354,53.1611,291.1347,91.8590,268.2543,0,U,52126,999,23766,-.463087E-5,-.362E-5,0
STARLINK-3715,2022-029AR,2026-06-28T13:43:44.782176,15.08832410,.000105,53.1590,291.1844,89.1144,270.9968,0,U,52127,999,23766,.59992905E-4,.667E-5,0
STARLINK-3661,2022-029AT,2026-06-28T13:33:08.976672,15.08828484,.00010237,53.1595,291.2164,77.0001,283.1105,0,U,52129,999,23767,.122488E-3,.1662E-4,0
STARLINK-3711,2022-029AV,2026-06-28T13:20:36.894912,15.19145077,.00009818,53.2121,283.6904,203.1076,156.9877,0,U,52131,999,23778,.12682656E-2,.26759E-3,0
STARLINK-3718,2022-029AW,2026-06-28T15:13:50.037024,15.08834687,.00009789,53.1596,290.9037,78.9410,281.1691,0,U,52132,999,23768,.10443931E-3,.1375E-4,0
STARLINK-3707,2022-029AX,2026-06-28T14:52:38.417376,15.08830263,.00009982,53.1578,290.9687,84.9670,275.1435,0,U,52133,999,23768,.6078871E-4,.68E-5,0
STARLINK-3721,2022-029AY,2026-06-28T14:57:57.315456,15.08821768,.00010656,53.1605,290.9531,86.6383,273.4731,0,U,52134,999,23768,.21973325E-4,.62E-6,0
STARLINK-3720,2022-029BA,2026-06-28T14:47:20.283072,15.08827359,.00010863,53.1596,290.9837,85.2068,274.9047,0,U,52136,999,23768,.63790239E-4,.727E-5,0
STARLINK-3733,2022-029BB,2026-06-28T14:31:26.209344,15.08830160,.00010462,53.1600,291.0348,92.3456,267.7655,0,U,52137,999,23768,.77109841E-4,.939E-5,0
STARLINK-3723,2022-029BC,2026-06-28T13:06:39.108672,15.08828260,.00010361,53.1607,291.2996,87.6955,272.4155,0,U,52138,999,23767,.77984515E-4,.953E-5,0
STARLINK-3730,2022-029BD,2026-06-28T14:00:01.000224,15.18011238,.00006344,53.1606,300.8810,74.4628,3.3837,0,U,52139,999,579,.74008315E-3,.14953E-3,0
STARLINK-3682,2022-029BE,2026-06-28T14:26:08.548512,15.08833804,.0001193,53.1595,291.0513,90.3375,269.7753,0,U,52140,999,23768,-.16305596E-4,-.547E-5,0
MERIDIAN 10,2022-030A,2026-06-27T10:30:28.833408,2.00612430,.6786733,62.6789,139.6815,272.8508,17.6297,0,U,52145,999,3123,0,.155E-5,0
TK-2,2022-031A,2026-06-28T15:27:56.895264,15.03603704,.00167091,97.8295,15.9195,87.5024,272.8113,0,U,52150,999,23218,.19186853E-3,.2567E-4,0
